Des Moines,-1.039136,-2.550919,0
Sheldon,-7.584345,6.666667,200
Le Mars,-8.54251,4.435696,250
spirit Lake,-5.384615,7.979002,200
Esther ville,-4.642375,7.821522,100
Spencer,-5.546559,6.299212,100
Emmetsburg,-4.604863,6.074499,300
Cherokee,-6.761134,4.120735,250
Sioux City,-9.317769,2.970646,80
Storm Lake,-5.775979,3.51706,200
Fort Dodge,-2.739541,2.598425,100
Webster City,-1.673414,2.414698,140
Denison,-6.194332,-0.1312336,200
Carroll,-4.790823,0.1312336,150
Boone,-1.848853,0.1049869,300
Ames,-1.066127,-0.1574803,120
Ankeny,-1.039136,-1.83727,80,
Urbandale,-1.363023,-2.309711,220
West Des Moines,-1.336032,-2.808399,120
Indianola,-0.8636977,-4.015748,300
Council Bluffs,-7.833279,-4.388189,100
Atlantic,-5.236167,-3.727034,150
Red Oak,-5.910931,-6.036746,120
Shenandoah,-6.34278,-7.427822,140
Clarinda,-5.34413,-7.506562,150
Creston,-3.265857,-5.774278,150
Osceola,-1.497976,-5.826772,120
Mason City,0.1214575,6.4042,240
Charles City,1.68691,5.931758,180
Waverly,2.280702,3.937008,120
Iowa Falls,-0.04048583,2.729659,150
Cedar Falls,2.361673,2.808399,160
Water Loo,2.68556,2.493438,230
Marshalltown,1.039136,0.02624672,210
Newton,0.5802969,-2.047244,400
Grinnell,1.551957,-1.75853,150
Knoxville,0.4858299,-4.146982,120
Chariton,-0.1214575,-6.089239,140
Centerville,1.20108,-7.585302,160
Ottumwa,2.604589,-5.958005,180
Oskaloosa,1.821862,-4.383202,180
Fairfield,3.91363,-6.010499,210
Washington,4.696356,-4.278215,220
Mount Pleasant,5.1417,-6.220472,130
Burlington,6.477733,-7.007874,240
Fort Madison,5.910931,-8.083989,130
Keokuk,5.708502,-9.370079,120
Iowa City,5.155196,-2.152231,150
Muscatine,6.585695,-3.490814,180
Davenport,7.975708,-2.703412,190
Bettendorf,8.191633,-2.703412,210
Clinton,9.05533,-0.9186352,200
Maquoketa,7.678813,0.2624672,310
Cedar Rapids,4.709852,-0.2624672,120
Marion,4.898786,0.05249344,140
Dubuque,7.584345,2.913386,150
Decorah,4.251012,7.322834,160
